,gcsq,gcsq_k,date,pam,pam_k,sponge,sponge_k,sponge_sym,sponge_sym_k
0,28.73768365429666,2,2025-01-02,526.7815937297592,3,424.3660582940064,3,435.78433320574146,3
1,225.66414179294262,11,2025-01-03,308.3339406950253,4,325.3054913880072,4,221.10489877230802,4
2,53.98173987327007,3,2025-01-06,458.4302082566489,5,403.8681509211221,5,499.13060679081906,5
3,67.55199800633486,1,2025-01-07,502.38858597195247,4,535.346074315,4,429.3661691178104,4
4,59.71530258428115,2,2025-01-08,472.4898836201759,4,439.4956185404458,4,430.2576889678078,4
5,81.24617682518135,4,2025-01-10,462.5250731842901,3,154.32979171365406,3,341.4466554231633,3
6,170.0523137584579,3,2025-01-13,300.88559403575215,5,279.30595050811587,5,312.95829668462227,5
7,49.261756929199265,5,2025-01-14,520.0213616264767,3,288.54918107676406,3,402.49720261245466,3
8,100.12221624108258,2,2025-01-15,450.0318220263946,4,393.37972159257214,4,397.7145756626112,4
9,86.27118536250028,2,2025-01-16,365.39307962983804,5,365.53451295990465,5,353.90690568218116,5
10,130.56557441322406,3,2025-01-17,337.04646723763125,8,350.72520052360113,8,353.3571504871449,8
11,155.42682729661198,10,2025-01-21,222.54449944018398,3,206.1039153847522,3,206.1039153847522,3
12,103.38210332569693,4,2025-01-22,213.71228759752302,4,201.3424966575834,4,171.98895867018558,4
13,156.02439741784647,9,2025-01-23,92.41591136163804,3,250.57552177145993,3,85.08320590347604,3
14,191.67917492121416,3,2025-01-24,349.0806631981319,4,313.95545441945353,4,319.60624802641877,4
15,149.164438110854,3,2025-01-27,346.99666677541654,5,334.82464080106143,5,337.89442864435404,5
16,158.5166988616136,4,2025-01-28,250.2830206751336,4,235.2019744991859,4,243.88559867394386,4
17,40.666846945861586,3,2025-01-29,864.0993725029365,7,797.996266266437,7,819.7158174892646,7
18,79.94570768155393,6,2025-01-30,627.2370655482617,6,506.77941886959104,6,543.5645498436468,6
19,177.90980239953961,9,2025-01-31,344.8339422198204,4,359.23938943504993,4,261.04953692831214,4
